የተመረቁበት ዓም,በ ሰርተፍኬት ,በዲፕሎማ,በዲግሪ,በድሕረ ምረቃ
1952,,11,,
1953,,9,,
1954,,5,13,
1955,11,44,9,
1956,7,1,18,
1957,15,1,40,
1958,18,31,48,
1959,24,49,83,
1960,6,28,90,
1961,16,18,124,
1962,15,15,132,
1963,10,26,185,
1964,26,72,209,
1965,143,92,64,
1966,266,199,214,
1967,36,425,245,
1968,28,551,284,
1969,129,612,299,
1970,238,546,491,
1971,124,703,564,
1972,12,645,577,
1973,13,905,588,
1974,48,1057,118,
1975,94,837,42,
1976,3,433,428,
1977,9,140,460,
1978,,469,433,
1979,334,1218,737,
1980,,1726,1497,23
1981,14,1024,821,33
1982,38,1649,1871,68
1983,23,1609,1528,54
1984,23,1818,1750,67
1985,,1798,1540,61
1986,,1423,1667,48
1987,,1546,1966,62
1988,,1443,1897,76
1989,,1299,1669,110
1990,,1241,1516,108
1991,,1774,1650,117
1992,,1050,1404,119
1993,,1346,1518,172
1994,,975,1337,173
1995,,998,1554,189
1996,,564,1140,195
1997,,664,1576,232
1998,,679,1643,251
1999,,790,1702,230
2000,,734,2079,278
2001,,779,2322,337
2002,,758,917,389
2003,,1187,2729,391
2004,,3299,3138,638
2005,,2428,4498,924
2006,,1025,5325,1286
2007,,408,7059,2272
2008,,161,8694,1908
2009,,115,8284,2010
2010,,24,8179,2280
